id,condition,v1_item,v1_Q1,v1_Q2,v1_Q3,v1_Q4,v2_item,v2_Q1,v2_Q2,v2_Q3,v2_Q4,v3_item,v3_Q1,v3_Q2,v3_Q3,v3_Q4,item_reported
155,congruent,handkerchief,,75,79,65,handkerchief,,81,82,77,handkerchief,,48,50,42,999
156,congruent,handkerchief,,46,44,41,handkerchief,,44,48,38,handkerchief,,57,55,48,999
157,congruent,handkerchief,,36,36,40,handkerchief,,36,39,38,handkerchief,,36,39,32,0
158,congruent,handkerchief,,47,43,44,handkerchief,,49,38,43,handkerchief,,36,36,37,999
159,congruent,handkerchief,,61,58,53,handkerchief,,64,62,54,handkerchief,,26,32,18,999
160,incongruent,coin,,60,69,67,coin,,58,81,69,card,,0,0,0,999
161,incongruent,coin,,46,36,42,coin,,49,34,41,card,,48,51,42,999
162,incongruent,coin,,63,64,73,coin,,64,66,76,card,,94,95,96,1
163,incongruent,coin,,42,39,35,coin,,38,34,36,card,,14,14,11,999
164,incongruent,coin,,36,36,34,coin,,35,30,40,card,,59,60,65,0
165,incongruent,coin,,58,56,51,coin,,64,47,51,card,,93,94,95,1
166,incongruent,coin,,46,42,43,coin,,50,31,39,card,,30,26,27,999
167,incongruent,coin,,39,37,42,coin,,31,39,46,card,,59,60,66,0
168,incongruent,coin,,82,90,87,coin,,92,87,80,card,,38,44,52,1
169,incongruent,coin,,62,59,62,coin,,53,54,65,card,,25,26,33,999
170,incongruent,coin,,50,49,49,coin,,50,47,47,card,,58,54,60,999
171,incongruent,coin,,63,60,58,coin,,51,61,65,card,,44,48,42,0
172,incongruent,coin,,51,50,47,coin,,55,50,50,card,,62,66,66,999
173,incongruent,coin,,35,26,38,coin,,31,27,47,card,,53,58,56,999
174,incongruent,coin,,38,35,42,coin,,37,32,45,card,,50,40,47,999
175,incongruent,coin,,55,55,47,coin,,53,53,52,card,,61,72,62,1
176,incongruent,coin,,43,47,42,coin,,43,49,47,card,,46,40,37,999
177,incongruent,coin,,46,46,44,coin,,47,40,49,card,,46,40,51,999
178,incongruent,coin,,57,57,60,coin,,56,56,54,card,,57,49,65,999
179,incongruent,coin,,52,56,47,coin,,46,56,46,card,,37,32,38,999
180,incongruent,coin,,63,65,63,coin,,66,55,55,card,,38,38,36,999
181,incongruent,coin,,65,76,64,coin,,70,80,63,card,,28,27,23,999
182,incongruent,coin,,52,45,50,coin,,49,47,47,card,,59,56,63,999
183,incongruent,coin,,58,56,56,coin,,54,57,42,card,,0,0,0,999
184,incongruent,coin,,51,53,42,coin,,53,53,33,card,,43,45,46,999
185,incongruent,coin,,47,40,50,coin,,34,38,52,card,,24,25,23,999
186,incongruent,coin,,80,87,75,coin,,70,88,84,handkerchief,,57,52,57,2
187,incongruent,coin,,11,6,16,coin,,10,0,4,handkerchief,,50,50,55,999
188,incongruent,coin,,46,42,43,coin,,39,42,49,handkerchief,,63,68,58,1
189,incongruent,coin,,72,74,80,coin,,66,67,78,handkerchief,,48,44,43,999
190,incongruent,coin,,59,61,59,coin,,60,61,59,handkerchief,,50,45,32,999
191,incongruent,coin,,38,44,41,coin,,36,46,41,handkerchief,,28,28,21,999
192,incongruent,coin,,44,43,50,coin,,45,43,52,handkerchief,,0,0,0,999
193,incongruent,coin,,65,75,71,coin,,65,71,71,handkerchief,,59,65,59,999
194,incongruent,coin,,59,60,60,coin,,62,64,58,handkerchief,,57,58,52,999
195,incongruent,coin,,51,58,64,coin,,51,70,72,handkerchief,,68,71,58,999
196,incongruent,coin,,43,41,37,coin,,40,39,39,handkerchief,,80,83,87,0
197,incongruent,coin,,48,46,45,coin,,47,51,43,handkerchief,,49,61,48,999
198,incongruent,coin,,67,61,71,coin,,62,61,70,handkerchief,,43,43,52,999
199,incongruent,coin,,47,51,47,coin,,48,57,51,handkerchief,,46,50,43,999
200,incongruent,coin,,54,45,49,coin,,49,38,56,handkerchief,,18,27,14,999
201,incongruent,coin,,45,43,40,coin,,41,33,43,handkerchief,,85,89,88,0
202,incongruent,coin,,64,66,66,coin,,60,59,65,handkerchief,,33,32,37,999
203,incongruent,coin,,42,40,48,coin,,34,39,58,handkerchief,,68,74,70,999
204,incongruent,coin,,53,62,51,coin,,57,61,51,handkerchief,,76,79,73,0
205,incongruent,coin,,46,43,50,coin,,46,42,52,handkerchief,,36,30,35,999
206,incongruent,coin,,46,43,48,coin,,50,43,41,handkerchief,,42,43,45,999
207,incongruent,coin,,48,47,46,coin,,53,51,48,handkerchief,,29,30,32,999
208,incongruent,coin,,40,41,43,coin,,44,37,48,handkerchief,,50,43,50,999
209,incongruent,coin,,54,51,57,coin,,56,59,49,handkerchief,,40,43,42,0
210,incongruent,coin,,55,52,52,coin,,48,50,51,handkerchief,,66,62,63,0
211,incongruent,coin,,50,51,55,coin,,45,47,59,handkerchief,,66,67,65,0
212,incongruent,coin,,52,53,52,coin,,56,48,50,handkerchief,,46,46,51,999
213,incongruent,card,,52,56,61,card,,52,60,56,coin,,53,55,53,999
214,incongruent,card,,35,35,40,card,,44,39,41,coin,,50,43,49,999
215,incongruent,card,,47,41,41,card,,47,46,47,coin,,28,31,27,999
216,incongruent,card,,22,27,27,card,,20,26,33,coin,,50,53,44,999
217,incongruent,card,,43,45,42,card,,47,38,36,coin,,55,51,53,999
218,incongruent,card,,47,57,43,card,,43,60,40,coin,,23,22,24,999
219,incongruent,card,,52,54,51,card,,50,52,43,coin,,35,35,34,0
220,incongruent,card,,50,49,48,card,,55,53,43,coin,,0,0,0,999
221,incongruent,card,,48,46,43,card,,43,53,38,coin,,76,71,77,999
222,incongruent,card,,49,45,49,card,,36,39,44,coin,,63,56,57,999
223,incongruent,card,,28,25,21,card,,24,20,33,coin,,100,100,100,2
224,incongruent,card,,47,46,44,card,,52,39,51,coin,,55,55,55,999
225,incongruent,card,,49,54,52,card,,53,42,50,coin,,59,61,66,999
226,incongruent,card,,24,30,26,card,,27,31,30,coin,,38,37,40,999
227,incongruent,card,,40,36,36,card,,41,38,32,coin,,54,55,51,999
228,incongruent,card,,59,51,71,card,,60,53,69,coin,,35,35,37,999
229,incongruent,card,,48,48,42,card,,47,41,46,coin,,87,88,93,2
230,incongruent,card,,46,42,42,card,,45,38,36,coin,,82,74,82,1
231,incongruent,card,,73,80,59,card,,75,81,58,coin,,33,31,41,999
232,incongruent,card,,26,30,20,card,,29,27,18,coin,,41,40,40,999
233,incongruent,card,,76,75,82,card,,73,80,84,coin,,42,51,44,0
234,incongruent,card,,72,75,68,card,,67,69,74,coin,,53,56,45,999
235,incongruent,card,,37,33,37,card,,31,35,34,coin,,41,43,43,1
236,incongruent,card,,38,43,38,card,,30,47,43,coin,,31,27,28,999
237,incongruent,card,,26,29,34,card,,24,33,36,coin,,56,55,57,999
238,incongruent,card,,50,54,42,card,,44,62,40,coin,,52,58,56,999
239,incongruent,card,,43,47,48,card,,44,48,52,coin,,0,0,0,999
240,incongruent,card,,42,40,31,card,,40,36,27,handkerchief,,52,55,48,999
241,incongruent,card,,71,73,71,card,,64,78,59,handkerchief,,34,32,34,0
242,incongruent,card,,50,53,50,card,,52,56,51,handkerchief,,44,40,42,999
243,incongruent,card,,73,78,68,card,,68,76,73,handkerchief,,14,21,7,999
244,incongruent,card,,43,39,43,card,,49,32,46,handkerchief,,44,41,59,0
245,incongruent,card,,58,63,59,card,,63,70,57,handkerchief,,90,98,94,1
246,incongruent,card,,38,40,35,card,,41,39,35,handkerchief,,43,44,43,999
247,incongruent,card,,62,53,60,card,,56,56,66,handkerchief,,85,88,83,1
248,incongruent,card,,45,44,35,card,,50,42,33,handkerchief,,49,55,50,999
249,incongruent,card,,48,40,42,card,,55,33,44,handkerchief,,26,27,29,0
250,incongruent,card,,61,54,63,card,,54,56,54,handkerchief,,48,41,32,2
251,incongruent,card,,37,31,38,card,,29,35,35,handkerchief,,35,36,25,0
252,incongruent,card,,37,47,31,card,,35,42,28,handkerchief,,39,42,40,0
253,incongruent,card,,52,61,48,card,,51,68,42,handkerchief,,40,46,30,1
254,incongruent,card,,21,22,23,card,,24,20,25,handkerchief,,38,41,37,999
255,incongruent,card,,61,69,60,card,,61,72,67,handkerchief,,63,65,66,999
256,incongruent,card,,32,35,35,card,,38,25,30,handkerchief,,52,59,48,0
257,incongruent,card,,39,33,32,card,,39,30,37,handkerchief,,78,83,80,999
258,incongruent,card,,59,48,55,card,,61,43,55,handkerchief,,42,36,43,999
259,incongruent,card,,97,98,95,card,,95,103,96,handkerchief,,54,62,62,1
260,incongruent,card,,60,67,56,card,,57,74,62,handkerchief,,58,64,52,999
261,incongruent,card,,46,51,51,card,,48,55,45,handkerchief,,48,52,45,999
262,incongruent,card,,54,55,52,card,,44,59,44,handkerchief,,47,44,46,999
263,incongruent,card,,70,73,75,card,,58,60,77,handkerchief,,0,0,0,999
264,incongruent,card,,64,65,69,card,,71,62,75,handkerchief,,54,65,59,999
265,incongruent,card,,42,41,40,card,,39,40,37,handkerchief,,54,50,61,999
266,incongruent,handkerchief,,49,39,38,handkerchief,,49,41,37,coin,,70,69,70,999
267,incongruent,handkerchief,,19,23,15,handkerchief,,21,13,10,coin,,39,32,40,0
268,incongruent,handkerchief,,61,55,58,handkerchief,,63,51,62,coin,,13,22,10,0
269,incongruent,handkerchief,,54,52,50,handkerchief,,56,53,53,coin,,25,26,24,999
270,incongruent,handkerchief,,36,42,41,handkerchief,,30,41,34,coin,,28,27,25,999
271,incongruent,handkerchief,,46,37,51,handkerchief,,50,31,56,coin,,21,18,18,999
272,incongruent,handkerchief,,57,49,61,handkerchief,,61,49,59,coin,,24,13,23,0
273,incongruent,handkerchief,,52,47,50,handkerchief,,62,41,41,coin,,15,11,17,999
274,incongruent,handkerchief,,34,33,27,handkerchief,,31,38,37,coin,,29,19,29,999
275,incongruent,handkerchief,,49,50,39,handkerchief,,53,52,32,coin,,75,78,73,0
276,incongruent,handkerchief,,59,54,66,handkerchief,,48,53,62,coin,,18,11,15,999
277,incongruent,handkerchief,,53,58,43,handkerchief,,53,60,46,coin,,11,12,12,999
278,incongruent,handkerchief,,20,17,24,handkerchief,,18,14,25,coin,,26,25,24,999
279,incongruent,handkerchief,,32,39,26,handkerchief,,31,47,25,coin,,94,95,92,2
280,incongruent,handkerchief,,33,27,28,handkerchief,,35,39,30,coin,,20,18,19,1
281,incongruent,handkerchief,,66,69,61,handkerchief,,59,75,61,coin,,35,35,37,0
282,incongruent,handkerchief,,71,69,70,handkerchief,,70,70,67,coin,,35,33,36,0
283,incongruent,handkerchief,,29,39,26,handkerchief,,24,40,20,coin,,28,27,30,999
284,incongruent,handkerchief,,43,49,41,handkerchief,,41,48,30,coin,,31,35,27,999
285,incongruent,handkerchief,,47,50,43,handkerchief,,51,42,33,coin,,42,42,46,0
286,incongruent,handkerchief,,28,19,27,handkerchief,,32,9,19,coin,,30,31,33,999
287,incongruent,handkerchief,,25,26,17,handkerchief,,26,26,14,coin,,33,35,36,0
288,incongruent,handkerchief,,37,41,45,handkerchief,,40,43,36,coin,,10,10,14,999
289,incongruent,handkerchief,,45,48,38,handkerchief,,42,42,35,coin,,8,9,8,999
290,incongruent,handkerchief,,49,47,51,handkerchief,,54,45,51,coin,,9,17,12,999
291,incongruent,handkerchief,,52,56,51,handkerchief,,56,51,58,coin,,34,36,32,0
292,incongruent,handkerchief,,34,33,28,handkerchief,,35,36,29,coin,,15,19,13,999
293,incongruent,handkerchief,,64,64,67,handkerchief,,61,68,65,card,,84,87,82,0
294,incongruent,handkerchief,,63,57,61,handkerchief,,65,52,53,card,,28,35,31,999
295,incongruent,handkerchief,,65,62,68,handkerchief,,62,59,73,card,,21,20,27,999
296,incongruent,handkerchief,,51,58,43,handkerchief,,44,61,39,card,,20,23,17,999
297,incongruent,handkerchief,,70,68,75,handkerchief,,70,70,71,card,,10,6,9,999
298,incongruent,handkerchief,,59,47,51,handkerchief,,61,44,51,card,,18,12,9,999
299,incongruent,handkerchief,,70,70,69,handkerchief,,76,70,70,card,,18,19,19,999
300,incongruent,handkerchief,,61,64,61,handkerchief,,64,61,66,card,,17,19,26,999
301,incongruent,handkerchief,,28,37,31,handkerchief,,35,29,35,card,,31,29,20,999
302,incongruent,handkerchief,,59,56,59,handkerchief,,52,53,58,card,,18,19,9,999
303,incongruent,handkerchief,,54,47,63,handkerchief,,48,46,55,card,,35,23,26,0
304,incongruent,handkerchief,,47,40,45,handkerchief,,47,38,45,card,,31,37,35,999
305,incongruent,handkerchief,,40,29,45,handkerchief,,40,27,42,card,,24,14,25,999
306,incongruent,handkerchief,,59,55,68,handkerchief,,64,56,58,card,,1,0,1,999
307,incongruent,handkerchief,,35,42,30,handkerchief,,40,37,36,card,,30,32,25,999
308,incongruent,handkerchief,,28,31,27,handkerchief,,20,28,30,card,,25,15,29,999
309,incongruent,handkerchief,,39,41,41,handkerchief,,30,33,37,card,,13,4,17,999
310,incongruent,handkerchief,,46,44,45,handkerchief,,51,41,44,card,,22,11,18,0
311,incongruent,handkerchief,,58,58,56,handkerchief,,69,58,57,card,,28,27,30,0
312,incongruent,handkerchief,,58,61,61,handkerchief,,65,62,64,card,,60,65,69,0
313,incongruent,handkerchief,,46,49,46,handkerchief,,46,51,39,card,,10,5,2,999
314,incongruent,handkerchief,,51,47,41,handkerchief,,57,41,32,card,,36,32,36,999
315,incongruent,handkerchief,,45,39,42,handkerchief,,43,38,31,card,,14,9,17,999
316,incongruent,handkerchief,,41,44,44,handkerchief,,36,39,44,card,,23,19,9,999
317,incongruent,handkerchief,,47,49,52,handkerchief,,43,48,59,card,,22,11,15,999
318,incongruent,handkerchief,,52,47,52,handkerchief,,49,53,59,card,,19,24,21,999
319,control,control,,37,38,38,control,,42,49,35,coin,,38,34,31,999
320,control,control,,67,60,68,control,,70,55,63,coin,,61,59,60,2
321,control,control,,61,59,64,control,,68,56,56,coin,,47,46,46,999
322,control,control,,61,58,62,control,,65,57,62,coin,,0,0,0,999
323,control,control,,42,37,45,control,,38,42,40,coin,,54,57,57,999
324,control,control,,43,47,37,control,,48,50,31,coin,,40,37,34,999
325,control,control,,43,37,45,control,,38,39,45,coin,,30,26,31,999
326,control,control,,34,32,38,control,,42,30,32,coin,,0,0,0,999
327,control,control,,63,64,59,control,,57,58,58,coin,,46,45,53,999
328,control,control,,40,40,46,control,,47,48,60,coin,,46,54,39,999
329,control,control,,82,69,83,control,,76,79,85,coin,,43,43,34,999
330,control,control,,46,48,48,control,,58,38,37,coin,,47,42,43,0
331,control,control,,14,17,16,control,,12,13,8,coin,,58,56,58,999
332,control,control,,31,23,36,control,,31,29,35,coin,,41,38,40,999
333,control,control,,34,39,32,control,,28,37,36,coin,,43,36,39,999
334,control,control,,60,63,58,control,,59,63,65,coin,,37,35,28,999
335,control,control,,78,78,76,control,,77,76,78,coin,,49,50,51,999
336,control,control,,54,51,53,control,,54,43,62,coin,,45,51,47,999
337,control,control,,54,56,50,control,,53,54,51,coin,,0,0,0,999
338,control,control,,51,51,47,control,,44,48,45,coin,,42,44,41,999
339,control,control,,42,47,43,control,,39,41,38,coin,,78,69,81,2
340,control,control,,47,47,46,control,,37,47,40,coin,,58,59,54,999
341,control,control,,66,59,70,control,,65,56,70,coin,,59,60,59,999
342,control,control,,62,59,64,control,,63,57,62,coin,,51,51,52,999
343,control,control,,32,35,29,control,,38,29,30,coin,,59,64,62,999
344,control,control,,51,52,43,control,,53,48,43,coin,,47,50,37,999
